#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
CT Fairfield	288900	38350	6.9	882567	0.3	13.3	226214	51.7	84.4	39.9	12635	25.6	76.8	11935
CT Hartford	147300	26047	9.3	857183	0.5	14.7	210832	51.9	82.4	29.6	14260	24.6	76.7	52922
CT Litchfield	156600	28408	4.5	182193	1.2	14.2	44846	51.1	85.9	27.5	2616	24.6	77.9	90538
CT Middlesex	166000	28251	4.6	155071	1.6	13.6	35980	51.3	88.7	33.8	2222	23.2	77.6	18682
CT New Haven	151900	24439	9.5	824008	0.5	14.5	201679	52	83	27.6	13759	24.5	76.1	24563
CT New London	142200	24678	6.4	259088	0	13	63231	50.5	86	26.2	4274	24.4	76.6	67924
CT Tolland	151600	25474	5.6	136364	1.9	10.2	31520	49.9	89.2	32.8	1648	23.1	77.6	36235
CT Windham	117200	20443	8.5	109091	1	12.3	27386	50.7	79.6	19	2034	25.1	76.3	56514
ME Androscoggin	89900	18734	11.1	103793	0.3	14.4	24836	51.5	79.8	14.4	2417	23.9	75.6	55905
ME Aroostook	60200	15033	14.3	73938	-1.1	17	16720	51.2	76.9	14.6	2140	22.6	76.3	324887
ME Cumberland	131200	23949	7.9	265612	0.5	13.3	61962	51.6	90.1	34.2	3309	23.3	76.7	49829
ME Franklin	78300	15796	14.6	29467	0.4	14.2	6929	51.7	85.2	20.9	1047	23.5	76.9	40091
ME Hancock	108600	19809	10.2	51791	1.1	16	11543	51.1	87.8	27.1	1509	22.3	76.2	42607
ME Kennebec	87200	18520	11.1	117114	0.6	14.2	27927	51.5	85.2	20.7	2723	23.8	76.2	88134
ME Knox	112200	19981	10.1	39618	1.3	17.2	8859	51.2	87.5	26.2	599	22.4	76.6	25183
ME Lincoln	119900	20760	10.1	33616	2.1	18.2	7627	51.2	87.9	26.6	518	22.7	76.9	25920
ME Oxford	82800	16945	11.8	54755	1.1	16.1	13234	51.2	82.4	15.7	1766	24.2	75.6	63959
ME Penobscot	82400	17801	13.7	144919	0.3	13.1	33100	51.2	85.7	20.3	3311	22.8	75.8	116593
ME Piscataquis	62300	14374	14.8	17235	-0.3	17.4	4034	50.9	80.3	13.3	587	23.4	75.7	34171
ME Sagadahoc	110200	20378	8.6	35214	1.6	12.3	9074	50.9	88	25	495	25.8	76.1	17853
ME Somerset	70100	15474	14.9	50888	0.2	14.3	12563	51	80.8	11.8	1916	24.7	75.7	101270
ME Waldo	90100	17438	13.9	36280	2.7	13.6	8776	50.9	84.6	22.3	952	24.2	75.6	68569
ME Washington	68700	14119	19	33941	-1.1	17.3	7781	51.2	79.9	14.7	1473	22.9	75.2	98336
ME York	122600	21225	8.2	186742	3.2	13.6	46273	51.4	86.5	22.9	2788	24.8	76.5	58341
MA Barnstable	178800	25318	6.9	222230	2.1	23.1	45440	52.7	91.8	33.6	4544	20.4	77.4	4746
MA Berkshire	116800	21807	9.5	134953	-0.6	17.9	30187	52.2	85.1	26	2428	22.4	76.6	62833
MA Bristol	151500	20978	10	534678	1.1	14.1	131718	52	73.2	19.9	12018	24.6	76.3	37173
MA Dukes	304000	26472	7.3	14987	2.8	14.4	3398	51.1	90.4	38.4	353	22.7	77.4	4896
MA Essex	220000	26358	8.9	723419	1	13.9	182187	52.1	84.6	31.3	12894	25.2	76.4	25547
MA Franklin	119000	20672	9.4	71535	0.1	14.2	16788	51.6	88	29.1	1117	23.5	76.5	75134
MA Hampden	117400	19541	14.7	456228	-0.1	14.5	118858	52.1	79.2	20.5	8396	26.1	75.4	37417
MA Hampshire	142400	21685	9.4	152251	0.4	12	29850	53.4	89.4	37.9	1999	19.6	77.2	52092
MA Middlesex	247900	31199	6.5	1465396	-0.1	12.8	329073	51.6	88.5	43.6	20348	22.5	77	30718
MA Nantucket	577500	31314	7.5	9520	4.4	10.5	1828	48.7	91.6	38.4	110	19.2	77.4	1049
MA Norfolk	230400	32484	4.6	650308	0.4	14.4	152342	52.2	91.3	42.9	8497	23.4	77.3	9869
MA Plymouth	179200	24789	6.6	472822	1.7	11.8	126487	51.3	87.6	27.8	8045	26.8	76.1	73418
MA Suffolk	187300	22766	19	689807	-1.1	11	139460	51.8	78.1	32.5	11608	20.2	73.2	7
MA Worcester	146000	22983	9.2	750963	1.5	13	192448	51.1	83.5	26.9	12424	25.6	76.6	103400
RI Bristol	164600	26503	6.3	50648	1	16.7	11598	51.8	80.7	34.3	792	22.9	77.8	1710
RI Kent	118100	23833	6.6	167090	1.3	15.1	38809	52	83.9	24.8	3396	23.2	76.7	6437
RI Newport	164100	26779	7.1	85433	-0.3	14.4	19241	51.4	87.7	38.3	1486	22.5	77.3	10413
RI Providence	123900	19255	15.5	621602	0.9	14.6	149292	52.1	72.5	21.3	13141	24	75.9	14733
RI Washington	158600	25530	7.3	123546	2	12.8	28882	51.5	88.6	35.5	2076	23.4	77.3	21963
VT Addison	111300	19539	8.6	35974	0.8	11.3	8949	50.6	86.4	29.8	640	24.9	76.8	204985
VT Bennington	115700	21193	10	36994	0.4	16.7	8758	52	84.9	27.1	745	23.7	76.2	32374
VT Caledonia	83100	16976	12.3	29702	0.2	14.4	7509	50.6	82.6	22.5	625	25.3	76.3	94255
VT Chittenden	139000	23501	8.8	146571	0.7	9.4	34513	51.3	90.6	41.2	1718	23.5	76.5	83355
VT Essex	68700	14388	13.7	6459	0.7	15.2	1653	50	75	10.8	171	25.6	74.9	25497
VT Franklin	99300	17816	9	45417	1.7	11	12759	50.4	82.6	16.6	725	28.1	75.4	190215
VT Grand Isle	127600	22207	7.6	6901	4.6	12.3	1712	50	84.2	25	171	24.8	76.5	21036
VT Lamoille	114900	20972	9.6	23233	1.6	11.4	5645	50	87	31.2	488	24.3	76.5	48967
VT Orange	94300	18784	9.1	28226	2	12.8	7229	50.2	84.1	23.9	377	25.6	77.1	98352
VT Orleans	78800	16518	14.1	26277	1	15	6608	50.4	78.2	16.1	772	25.1	74.9	144154
VT Rutland	96000	18874	10.9	63400	-0.2	15	14739	51.4	84.3	23.2	1219	23.2	75.7	125770
VT Washington	102500	21113	8	58039	0.8	12.9	13636	51	88.4	32.2	1068	23.5	76.5	56290
VT Windham	109500	20533	9.4	44216	-0.4	14	10412	51.3	87.3	30.5	668	23.5	76.4	46818
VT Windsor	108500	22369	7.7	57418	0.4	15.8	13401	51.3	88.1	30.2	806	23.3	76.3	90087
